2026-04-22T18:49:27.305848100Z INFO Starting — 20 threads available
2026-04-22T18:49:27.573280800Z INFO Batch 1: 10000 rows processed
2026-04-22T18:49:27.644482700Z INFO Batch 2: 10000 rows processed
2026-04-22T18:49:27.697793900Z INFO Batch 3: 10000 rows processed
2026-04-22T18:49:27.747456600Z INFO Batch 4: 10000 rows processed
2026-04-22T18:49:27.782567100Z INFO Batch 5: 10000 rows processed
2026-04-22T18:49:27.846229Z INFO Batch 6: 10000 rows processed
2026-04-22T18:49:27.873801300Z INFO Batch 7: 10000 rows processed
2026-04-22T18:49:27.922863900Z INFO Batch 8: 10000 rows processed
2026-04-22T18:49:27.933895200Z INFO Batch 9: 10000 rows processed
2026-04-22T18:49:27.945102100Z INFO Batch 10: 10000 rows processed
2026-04-22T18:49:27.988687500Z INFO Batch 11: 10000 rows processed
2026-04-22T18:49:28.001217100Z INFO Batch 12: 10000 rows processed
2026-04-22T18:49:28.013742200Z INFO Batch 13: 10000 rows processed
2026-04-22T18:49:28.025789500Z INFO Batch 14: 10000 rows processed
2026-04-22T18:49:28.036828800Z INFO Batch 15: 10000 rows processed
2026-04-22T18:49:28.047697500Z INFO Batch 16: 10000 rows processed
2026-04-22T18:49:28.060233700Z INFO Batch 17: 10000 rows processed
2026-04-22T18:49:28.071773Z INFO Batch 18: 10000 rows processed
2026-04-22T18:49:28.144767800Z INFO Batch 19: 10000 rows processed
2026-04-22T18:49:28.157501300Z INFO Batch 20: 10000 rows processed
2026-04-22T18:49:28.171047500Z INFO Batch 21: 10000 rows processed
2026-04-22T18:49:28.181596400Z INFO Batch 22: 10000 rows processed
2026-04-22T18:49:28.193124600Z INFO Batch 23: 10000 rows processed
2026-04-22T18:49:28.204664500Z INFO Batch 24: 10000 rows processed
2026-04-22T18:49:28.223740600Z INFO Batch 25: 10000 rows processed
2026-04-22T18:49:28.343835600Z INFO Batch 26: 10000 rows processed
2026-04-22T18:49:28.358866800Z INFO Batch 27: 10000 rows processed
2026-04-22T18:49:28.369394800Z INFO Batch 28: 10000 rows processed
2026-04-22T18:49:28.378921500Z INFO Batch 29: 10000 rows processed
2026-04-22T18:49:28.389454800Z INFO Batch 30: 10000 rows processed
2026-04-22T18:49:28.402008900Z INFO Batch 31: 10000 rows processed
2026-04-22T18:49:28.411562900Z INFO Batch 32: 10000 rows processed
2026-04-22T18:49:28.503908Z INFO Batch 33: 10000 rows processed
2026-04-22T18:49:28.516410500Z INFO Batch 34: 10000 rows processed
2026-04-22T18:49:28.525452300Z INFO Batch 35: 10000 rows processed
2026-04-22T18:49:28.534972400Z INFO Batch 36: 10000 rows processed
2026-04-22T18:49:28.545489700Z INFO Batch 37: 10000 rows processed
2026-04-22T18:49:28.554011400Z INFO Batch 38: 10000 rows processed
2026-04-22T18:49:28.563535Z INFO Batch 39: 10000 rows processed
2026-04-22T18:49:28.655237900Z INFO Batch 40: 10000 rows processed
2026-04-22T18:49:28.664751200Z INFO Batch 41: 10000 rows processed
2026-04-22T18:49:28.674259700Z INFO Batch 42: 10000 rows processed
2026-04-22T18:49:28.683771800Z INFO Batch 43: 10000 rows processed
2026-04-22T18:49:28.693286200Z INFO Batch 44: 10000 rows processed
2026-04-22T18:49:28.703829500Z INFO Batch 45: 10000 rows processed
2026-04-22T18:49:28.714347100Z INFO Batch 46: 10000 rows processed
2026-04-22T18:49:28.724382Z INFO Batch 47: 10000 rows processed
2026-04-22T18:49:28.734900900Z INFO Batch 48: 10000 rows processed
2026-04-22T18:49:28.745070700Z INFO Batch 49: 10000 rows processed
2026-04-22T18:49:28.753586900Z INFO Batch 50: 10000 rows processed
2026-04-22T18:49:28.762917100Z INFO Batch 51: 10000 rows processed
2026-04-22T18:49:28.773447800Z INFO Batch 52: 10000 rows processed
2026-04-22T18:49:28.784977700Z INFO Batch 53: 10000 rows processed
2026-04-22T18:49:28.798005600Z INFO Batch 54: 10000 rows processed
2026-04-22T18:49:28.808542300Z INFO Batch 55: 10000 rows processed
2026-04-22T18:49:28.820075200Z INFO Batch 56: 10000 rows processed
2026-04-22T18:49:28.832131700Z INFO Batch 57: 10000 rows processed
